"Week","Jaar","Aantal_monsters","Britse_variant","Britse_variant_E484K","ZuidAfrikaanse_variant","Braziliaanse_variant_P1","Indiase_Variant_B1.167.2","Indiase_Variant_B1.167.1","Indiase_Variant_B1.167.3","B.1.525_variant_E484K_F888L","B.1.620","Colombiaanse_variant_B.1.621","Californie_variant","Filipijnen_variant_P3","Bretagne_variant","prevalentie_britsevariant","prevalentie_ZAvariant","prevalentie_P1_variant","prevalentie_B1.167.2"
49,2020,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0
50,2020,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0
51,2020,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0
52,2020,257,5,0,1,0,0,0,0,0,0,0,0,0,0,1.95,0.39,0,0
53,2020,209,9,0,1,0,0,0,0,0,0,0,0,0,0,4.31,0.48,0,0
1,2021,357,45,0,0,0,0,0,0,0,0,0,0,0,0,12.61,0,0,0
2,2021,303,61,0,3,0,0,0,0,0,0,0,0,0,0,20.13,0.99,0,0
3,2021,645,157,0,3,0,0,0,0,0,0,0,0,0,0,24.34,0.47,0,0
4,2021,837,224,0,14,1,0,0,0,0,0,0,0,0,0,26.76,1.67,0.12,0
5,2021,902,286,1,17,0,0,0,0,2,0,0,0,0,0,31.71,1.88,0,0
6,2021,964,396,0,26,0,0,0,0,1,0,0,0,0,0,41.08,2.7,0,0
7,2021,1041,647,1,32,1,0,0,0,3,0,0,0,0,0,62.15,3.07,0.1,0
8,2021,1028,787,0,19,3,0,0,0,0,0,0,0,1,0,76.56,1.85,0.29,0
9,2021,1514,1265,2,25,10,0,0,0,7,0,0,2,0,0,83.55,1.65,0.66,0
10,2021,1974,1725,1,56,15,0,0,0,5,0,0,2,0,0,87.39,2.84,0.76,0
11,2021,1561,1400,0,55,23,0,0,0,2,0,0,0,0,0,89.69,3.52,1.47,0
12,2021,1598,1492,0,39,23,0,0,0,0,0,0,0,2,0,93.37,2.44,1.44,0
13,2021,1689,1599,3,40,14,0,0,0,1,0,0,0,1,0,94.67,2.37,0.83,0
14,2021,1414,1345,2,27,23,0,2,0,2,0,1,0,0,0,95.12,1.91,1.63,0
15,2021,1511,1458,6,18,21,1,1,0,1,0,1,0,0,0,96.49,1.19,1.39,0.07
16,2021,1464,1406,7,18,26,1,0,0,4,0,0,0,0,0,96.04,1.23,1.78,0.07
17,2021,1397,1355,2,7,25,4,0,0,0,0,1,0,0,0,96.99,0.5,1.79,0.29
18,2021,735,709,2,5,19,0,0,0,0,NA,1,0,0,0,96.46,0.68,2.59,0
